id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field_name_of_associated_plant,field_pollination_interaction,city,year,source_file
11494164,94e2d1fa-f8d8-41c4-8195-cbd08f9178b0,2018-04-27 2:09:20 PM GMT+01:00,2018-04-27,2018-04-27 12:09:20 UTC,Amsterdam,903018,abilila,NA,2018-04-27 14:31:15 UTC,2026-02-19 10:20:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11494164,https://inaturalist-open-data.s3.amazonaws.com/photos/16406584/medium.jpeg,NA,NA,NA,1,0,false,2,"22 Savernake Rd, London NW3 2JP, UK",51.5558053,-0.1576994,18,NA,NA,NA,18,NA,NA,false,NA,NA,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,Symphytum,Yes,london,2018,london_18.csv
11589519,cda3ac62-6684-461a-8a72-fc51fc0450f0,2018-04-27,2018-04-27,NA,London,910816,pennymetal,NA,2018-04-28 09:15:44 UTC,2026-02-19 10:22:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11589519,https://inaturalist-open-data.s3.amazonaws.com/photos/16555743/medium.jpg,NA,NA,NA,3,0,false,NA,Warwick Gardens SE15 5AH,51.469631,-0.074791,20,NA,NA,NA,20,NA,NA,false,NA,NA,Grey-patched Mining Bee,Andrena nitida,Grey-patched Mining Bee,Insecta,460837,NA,No,london,2018,london_18.csv
11590858,e5f6eb1f-13ad-4a3f-b7b0-1463fcc1559f,2018/04/27 11:18 AM +0100,2018-04-27,2018-04-27 09:18:00 UTC,Amsterdam,910816,pennymetal,NA,2018-04-28 10:13:11 UTC,2026-02-19 10:23:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11590858,https://inaturalist-open-data.s3.amazonaws.com/photos/16556968/medium.jpg,NA,NA,NA,1,0,false,NA,"Warwick Gardens, London SE15 5AH, UK",51.4695641,-0.0754514,15,NA,NA,NA,15,NA,NA,false,NA,NA,Red Mason Bee,Osmia bicornis,Red Mason Bee,Insecta,876599,NA,No,london,2018,london_18.csv
11655794,1c580889-a06a-44a2-a21b-cd96225687be,2018-04-28 2:49:39 pm BST,2018-04-28,2018-04-28 14:49:39 UTC,UTC,898798,msutton92,Michelle Sutton,2018-04-28 19:51:19 UTC,2026-02-19 10:20:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11655794,https://inaturalist-open-data.s3.amazonaws.com/photos/16654166/medium.jpeg,NA,NA,Poor photo (mostly due to weather),3,0,false,2,"94 Blake Ave, Barking IG11, UK",51.5325278254,0.0975951925,129,NA,NA,NA,129,NA,NA,false,gps,gps,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,Hyacinthoides,Yes,london,2018,london_18.csv
11801621,2e43de24-0ba9-4cc5-aee6-7e563bd62473,Sun Apr 29 2018 15:36:30 GMT+0100 (GMT+1),2018-04-29,2018-04-29 13:36:30 UTC,Amsterdam,353381,wildhamandpetersham,Paul Cook,2018-04-29 22:20:24 UTC,2026-02-19 10:22:23 UTC,research,CC-BY,https://www.inaturalist.org/observations/11801621,https://inaturalist-open-data.s3.amazonaws.com/photos/16881336/medium.jpg,NA,NA,Beaten from Gorse (Ulex europaeus),2,0,false,3,"Richmond Park, Richmond, England, GB",51.4340833333,-0.301825,10,NA,NA,NA,10,NA,NA,false,NA,NA,NA,Nomada goodeniana,Gooden's Nomad Bee,Insecta,127759,NA,No,london,2018,london_18.csv
11801906,a1a8a206-313f-45d6-a72c-ca4ae863e414,Sun Apr 29 2018 15:29:27 GMT+0100 (GMT+1),2018-04-29,2018-04-29 13:29:27 UTC,Amsterdam,353381,wildhamandpetersham,Paul Cook,2018-04-29 22:22:58 UTC,2026-02-19 10:22:03 UTC,research,CC-BY,https://www.inaturalist.org/observations/11801906,https://inaturalist-open-data.s3.amazonaws.com/photos/16881754/medium.jpg,NA,NA,Beaten from G(Ulex europaeus),1,0,false,3,"Richmond Park, Richmond, England, GB",51.4340033333,-0.30185,10,NA,NA,NA,10,NA,NA,false,NA,NA,Ashy Mining Bee,Andrena cineraria,Ashy Mining Bee,Insecta,70400,NA,No,london,2018,london_18.csv
11861729,9a9a74e5-d434-43f5-9f0b-8d6e2569de34,2018/04/27 10:22 AM BST,2018-04-27,2018-04-27 09:22:00 UTC,London,910816,pennymetal,NA,2018-04-30 09:23:52 UTC,2026-02-19 10:19:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11861729,https://inaturalist-open-data.s3.amazonaws.com/photos/16978244/medium.png,NA,NA,NA,2,0,false,NA,"Warwick Gardens, London SE15 5AH, UK",51.4695641,-0.0754514,228,NA,NA,NA,228,NA,NA,false,NA,NA,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,Symphytum,Yes,london,2018,london_18.csv
11862210,e8b02a82-c196-4e8f-ad51-bbc528d496e4,2018/04/27 10:30 AM BST,2018-04-27,2018-04-27 09:30:00 UTC,London,910816,pennymetal,NA,2018-04-30 09:35:29 UTC,2026-02-19 10:21:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11862210,https://inaturalist-open-data.s3.amazonaws.com/photos/16978493/medium.png,NA,NA,NA,3,0,false,NA,"Warwick Gardens, London SE15 5AH, UK",51.4695641,-0.0754514,228,NA,NA,NA,228,NA,NA,false,NA,NA,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,NA,No,london,2018,london_18.csv
11862211,6ea1102a-34d2-4412-814d-e9c47175fc6a,2018/04/27 10:30 AM BST,2018-04-27,2018-04-27 09:30:00 UTC,London,910816,pennymetal,NA,2018-04-30 09:35:30 UTC,2026-02-19 10:21:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11862211,https://inaturalist-open-data.s3.amazonaws.com/photos/16978500/medium.png,NA,NA,NA,4,0,false,NA,"Warwick Gardens, London SE15 5AH, UK",51.4695641,-0.0754514,228,NA,NA,NA,228,NA,NA,false,NA,NA,Large Red-tailed Bumble Bee,Bombus lapidarius,Red-tailed Bumble Bee,Insecta,57619,NA,No,london,2018,london_18.csv
11862212,77219489-56fa-4fc0-b9af-2d814d9c0d61,2018/04/27 10:30 AM BST,2018-04-27,2018-04-27 09:30:00 UTC,London,910816,pennymetal,NA,2018-04-30 09:35:30 UTC,2026-02-19 10:21:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11862212,https://inaturalist-open-data.s3.amazonaws.com/photos/16978504/medium.png,NA,NA,NA,1,0,false,NA,"Warwick Gardens, London SE15 5AH, UK",51.4695641,-0.0754514,228,NA,NA,NA,228,NA,NA,false,NA,NA,Early Mining Bee,Andrena haemorrhoa,Early Mining Bee,Insecta,69202,NA,No,london,2018,london_18.csv
11870573,b9dab0f6-9372-410d-98d9-5f54dd16e35a,Sun Apr 29 2018 15:34:23 GMT+0100 (GMT+1),2018-04-29,2018-04-29 13:34:23 UTC,Amsterdam,353381,wildhamandpetersham,Paul Cook,2018-04-30 12:56:24 UTC,2026-02-19 10:22:53 UTC,research,CC-BY,https://www.inaturalist.org/observations/11870573,https://inaturalist-open-data.s3.amazonaws.com/photos/16991332/medium.jpg,NA,NA,Beaten from Gorse (Ulex europaeus),1,0,false,3,"Richmond Park, Richmond, England, GB",51.4341133333,-0.3018866667,10,NA,NA,NA,10,NA,NA,false,NA,NA,Lathbury's Nomad Bee,Nomada lathburiana,Lathbury's Nomad Bee,Insecta,461045,NA,No,london,2018,london_18.csv
23108693,8cbf3b35-a4dd-4308-bb48-55d9cd1c2db0,Fri Apr 26 2019 10:01:12 GMT+0100 (GMT+1),2019-04-26,2019-04-26 08:01:12 UTC,Amsterdam,353381,wildhamandpetersham,Paul Cook,2019-04-26 09:02:07 UTC,2026-02-19 10:53:56 UTC,research,CC-BY,https://www.inaturalist.org/observations/23108693,https://inaturalist-open-data.s3.amazonaws.com/photos/35825654/medium.jpg,NA,NA,NA,1,0,false,3,"Richmond Park, Richmond, England, GB",51.4339666667,-0.3017833333,10,NA,NA,NA,10,NA,NA,false,NA,NA,NA,Andrena cineraria,Ashy Mining Bee,Insecta,70400,NA,No,london,2019,london_19.csv
23115293,bca22aa3-bf70-4982-a497-5a0e53e66168,Fri Apr 26 2019 12:16:28 GMT+0100 (GMT+1),2019-04-26,2019-04-26 10:16:28 UTC,Amsterdam,1669992,ethom_16,NA,2019-04-26 11:20:59 UTC,2026-02-18 21:03:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23115293,https://inaturalist-open-data.s3.amazonaws.com/photos/35834910/medium.jpg,NA,NA,NA,1,0,false,3,"8A Battersea Park Road, London, England, GB",51.4772742808,-0.1464892208,65,NA,NA,NA,65,NA,NA,false,NA,NA,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,NA,No,london,2019,london_19.csv
23120784,13afb99c-3a2e-4bcb-8271-75a74f5d62a8,2019-04-26 1:25:53 pm BST,2019-04-26,2019-04-26 13:25:53 UTC,UTC,1670296,tarasbains,NA,2019-04-26 12:29:11 UTC,2026-02-19 10:50:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23120784,https://inaturalist-open-data.s3.amazonaws.com/photos/35842140/medium.jpeg,NA,NA,NA,2,0,false,2,"Gordon Square, Kings Cross, London WC1H 0PD, UK",51.5247985,-0.1305381,20,NA,NA,NA,20,NA,NA,false,NA,NA,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Pentaglottis sempervirens,Yes,london,2019,london_19.csv
23126100,2758374b-6ac7-4b03-a22d-deb844483a07,Fri Apr 26 2019 14:06:49 GMT+0100 (GMT+1),2019-04-26,2019-04-26 12:06:49 UTC,Amsterdam,1671384,alisondent,NA,2019-04-26 13:14:41 UTC,2026-02-19 10:50:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23126100,https://inaturalist-open-data.s3.amazonaws.com/photos/35849285/medium.jpg,NA,NA,NA,2,0,false,3,"Hyde Park, London, England, GB",51.5063360217,-0.161506308,1999,NA,NA,NA,1999,NA,NA,false,NA,NA,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Myosotis,Yes,london,2019,london_19.csv
23131445,00ce7022-062c-418a-bb4d-71fc96ceb158,Fri Apr 26 2019 14:47:56 GMT+0100 (GMT+1),2019-04-26,2019-04-26 12:47:56 UTC,Amsterdam,908252,sjleaman,NA,2019-04-26 13:53:41 UTC,2026-02-18 21:03:14 UTC,research,NA,https://www.inaturalist.org/observations/23131445,https://static.inaturalist.org/photos/35856324/medium.jpg,NA,NA,NA,2,0,false,3,"Alder Castle, 10 Noble Street, London, England, GB",51.5167351711,-0.0958695231,23,NA,NA,NA,23,NA,NA,false,NA,NA,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,NA,No,london,2019,london_19.csv
23132744,066e84d9-6d78-487c-b346-fea2474c9267,Fri Apr 26 2019 14:56:06 GMT+0100 (GMT+1),2019-04-26,2019-04-26 12:56:06 UTC,Amsterdam,908252,sjleaman,NA,2019-04-26 14:02:04 UTC,2026-02-19 10:52:36 UTC,research,NA,https://www.inaturalist.org/observations/23132744,https://static.inaturalist.org/photos/35858068/medium.jpg,NA,NA,NA,2,0,false,3,"Alder Castle, 10 Noble Street, London, England, GB",51.5167727902,-0.0958717056,22,NA,NA,NA,22,NA,NA,false,NA,NA,Common Carder Bee,Bombus pascuorum,Common Carder Bee,Insecta,55637,NA,Yes,london,2019,london_19.csv
23134135,741c9fb1-8c95-4765-8dfe-162e640105f3,Fri Apr 26 2019 13:48:01 GMT+0100 (GMT+1),2019-04-26,2019-04-26 11:48:01 UTC,Amsterdam,783022,penguingalaxy,Alice Sheppard,2019-04-26 14:11:33 UTC,2026-02-19 10:48:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23134135,https://inaturalist-open-data.s3.amazonaws.com/photos/35859925/medium.jpg,NA,NA,NA,2,0,false,3,"Gordon Square, London, England, GB",51.5245900795,-0.1311014193,24,NA,NA,NA,24,NA,NA,false,NA,NA,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219,Allium ursinum,Yes,london,2019,london_19.csv
23136361,2731b1a1-ea81-414a-8c9c-a77160a790c5,Fri Apr 26 2019 15:25:54 GMT+0100 (GMT+1),2019-04-26,2019-04-26 14:25:54 UTC,Dublin,796473,bryonycross,NA,2019-04-26 14:26:07 UTC,2026-02-19 10:58:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23136361,https://inaturalist-open-data.s3.amazonaws.com/photos/35864490/medium.jpg,NA,NA,NA,1,0,false,3,"Hyde Park, London, England, GB",51.5079977504,-0.1616476849,5,NA,NA,NA,5,NA,NA,false,NA,NA,Buff-tailed Bumble Bee,Bombus terrestris,Buff-tailed Bumble Bee,Insecta,57516,Pentaglottis sempervirens,Yes,london,2019,london_19.csv
